código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
65,Pluviógrafo,Yalí,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Quebrada La Union - Quebrada San Nicolas,1774,6.6898470,-74.8316310,Edificio de la Alcaldía,,
31,Pluviógrafo,Yarumal,Tahamíes,Alto Nechí - NSS,Quebrada Yarumalito,2383,6.9680000,-75.4153610,Planta de Tratamiento de Agua Potable - PTAP,,
80,Pluviógrafo,Yolombó,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Río San Lorenzo -Parte Alta,1460,6.5993890,-75.0138610,Casa Cural (contigua al edificio de la Alcaldia),,
50,Pluviógrafo,Yondó,Zenufaná,R. Cimitarra y otros directos al Magdalena- NSS,Caño las Cruces,75,7.0358700,-73.9463810,Edificio de la Alcaldía,,
94,Pluviógrafo,Yondó,Zenufaná,R. Cimitarra y otros directos al Magdalena- NSS,,87,6.9451389,-74.0513333,Vereda Caño Blanco. Planta de tratamiento de agua potable,,
1,Pluviógrafo,Zaragoza,Panzenú,R. Tigui - NSS,Quebrada Juan Vara,85,7.4923280,-74.8681390,Edificio de la Alcaldía,,
2106,Pluviógrafo IDEAM,Bello,Aburrá Norte,Rio Aburrá - NSS,Río Medellín,1440,6.3297500,-75.5521111,Metro Medellín,27015310.0,CP
2100,Pluviógrafo IDEAM,Entrerrios,Tahamíes,R. Grande - Chico - NSS,Río Chico,3221,6.6320278,-75.6444444,PMO Belmira,27015280.0,CP
2101,Pluviógrafo IDEAM,Jericó,Cartama,R. FR. y Otros Directos al Cauca - NSS,Río Cauca,2313,5.7991667,-75.7895278,Jericó,26185030.0,CP
2102,Pluviógrafo IDEAM,La Pintada,Cartama,R. FR. y Otros Directos al Cauca - NSS,Río Cauca,1870,5.7307222,-75.6081111,La Pintada,26180270.0,PG
2103,Pluviógrafo IDEAM,Maceo,Zenufaná,R. Nus - NSS,Quebrada San Lucas,980,6.5716389,-74.7947222,Maceo,23105070.0,CP
2104,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Rio Aburrá - NSS,Río Medellín,1952,6.2863333,-75.6127917,Pajarito,27015290.0,CP
2105,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Rio Aburrá - NSS,Río Medellín,1591,6.2532778,-75.5500000,Villanueva Villahermosa,27015300.0,CP
2107,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Rio Aburrá - NSS,Río Medellín,1490,6.2206111,-75.5889806,Aeropuerto Olaya Herrera,27015330.0,SP
2108,Pluviógrafo IDEAM,Santa Bárbara,Cartama,R. Arma,Río Arma,1680,5.8595833,-75.5562778,Santa Bárbara,26185050.0,CP
2109,Pluviógrafo IDEAM,Santa Fe de Antioquia,Hevéxicos,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Río Tonusco,534,6.5339167,-75.8273333,Hacienda Cotové,26225060.0,AM
2110,Pluviógrafo IDEAM,Santa Rosa de Osos,Tahamíes,R. Grande - Chico - NSS,Río Grande,2600,6.7810833,-75.5608888,Aragon,27015320.0,AM
2111,Pluviógrafo IDEAM,Valdivia,Panzenú,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Río Cauca,129,7.2870833,-75.3963056,Puerto Valdivia,26230260.0,PG
